"*";"base";"s"
"cn_Emugen.m";"艾穆恩";""
"cn_Emund.m";"愛慕德";""
"cn_Enderquina.f";"埃德爾奎娜";""
"cn_Eneas.m";"伊尼厄斯";""
"cn_Enede.f";"艾尼德";""
"cn_Engelard.m";"英加德";""
"cn_Engelbert.m";"英格爾伯特";""
"cn_Engelbrecht.m";"英格爾布里切特";""
"cn_Engelgerus.m";"英格爾古魯斯";""
"cn_Engjell.m";"英格吉爾";""
"cn_Enguerrand.m";"恩蓋蘭德";""
"cn_Enna.m";"昂納";""
"cn_Enouguen.f";"英諾福";""
"cn_Enri.m";"恩里";""
"cn_Enrico.m";"恩瑞科";""
"cn_Enricx.m";"恩瑞科斯";""
"cn_Enrique.m";"安立奎";""
"cn_Eochaid.m";"安查德";""
"cn_Eoghan.m";"奧恩";""
"cn_Eozen.m";"安贊";""
"cn_Equitan.m";"安奎坦";""
"cn_Er_divil.m";"厄爾迪威爾";""
"cn_Erard.m";"厄拉德";""
"cn_Erasmus.m";"厄拉斯姆斯";""
"cn_Erdudfyl.f";"厄拉杜德菲";""
"cn_Erdvilas.m";"埃爾德韋拉斯";""
"cn_Erekle.m";"艾雷克爾";""
"cn_Eremburga.f";"艾恩布加";""
"cn_Erengisle.m";"恩里吉斯";""
"cn_Eretna.m";"雷特納";""
"cn_Erik.m";"恩里克";""
"cn_Erlemannus.m";"伊拉茲馬斯";""
"cn_Erlend.m";"伊爾蘭";""
"cn_Erling.m";"伊爾林";""
"cn_Ermelaus.m";"伊爾莫勞斯";""
"cn_Ermengarda.f";"厄門加妲";""
"cn_Ermengarde.f";"埃芒加德";""
"cn_Ermengildo.m";"埃麥尼吉爾多";""
"cn_Ermengol.m";"阿門戈爾";""
"cn_Ermenrich.m";"埃爾門裡奇";""
"cn_Ermentrud.f";"埃門特魯德";""
"cn_Ermesinde.f";"愛梅辛德";""
"cn_Ermessenda.f";"愛梅辛妲";""
"cn_Ermessende.f";"厄麥森達";""
"cn_Ermina.f";"伊米娜";""
"cn_Ermintrude.f";"埃明圖德";""
"cn_Ernald.m";"厄納爾德";""
"cn_Erneis.m";"厄爾尼斯";""
"cn_Ernest.m";"厄爾奈斯特";""
"cn_Ertugrul.m";"厄爾圖古瑞";""
"cn_Erzsebet.f";"埃爾茲貝特";""
"cn_Esa.f";"艾薩";""
"cn_Esayi.m";"伊薩依";""
"cn_Eschiva.f";"伊奇娃";""
"cn_Esen.m";"艾森";""
"cn_Esger.m";"伊斯戈爾";""
"cn_Eshina.f";"伊什娜";""
"cn_Eshun.f";"伊斯溫";""
"cn_Eskil.m";"伊思奇";""
"cn_Espanels.m";"埃斯帕尼爾";""
"cn_Espargs.m";"伊斯帕爾格斯";""
"cn_Espas.m";"伊斯帕斯";""
"cn_Espina.f";"埃斯皮娜";""
"cn_Esquiva.f";"伊思奇娃";""
"cn_Estaci.m";"伊斯塔奇";""
"cn_Estefania.f";"埃斯特芬娜";""
"cn_Esteve.m";"伊斯特芬";""
"cn_Estotz.m";"伊斯托茲";""
"cn_Estrid.f";"伊斯特里德";""
"cn_Etain.f";"伊斯坦";""
"cn_Ete.f";"艾特";""
"cn_Ete.m";"伊坦";""
"cn_Etgar.m";"艾特加";""
"cn_Ethel.f";"伊瑟爾";""
"cn_Ethelreda.f";"伊瑟爾妲";""
"cn_Ethen.f";"伊森";""
"cn_Etienne.m";"伊提尼";""
"cn_Etkhsapet.f";"伊特斯撒佩特";""
"cn_Eua.f";"伊烏阿";""
"cn_Eudes.m";"伊德斯";""
"cn_Eudo.m";"伊多";""
"cn_Eudokia.f";"伊多奇亞";""
"cn_Eufemia.f";"歐費米婭";""
"cn_Eufemija.f";"歐費維賈";""
"cn_Eufemme.f";"尤菲米";""
"cn_Eufrosyne.f";"歐佛洛緒涅";""
"cn_Eugene.m";"尤金";""
"cn_Eugenios.m";"尤金尼奧斯";""
"cn_Eulalie.f";"尤拉麗";""
"cn_Eulalios.m";"尤拉提奧斯";""
"cn_Eumathios.m";"尤馬瑟提奧斯";""
"cn_Euphemia.f";"尤菲米婭";""
"cn_Euphrosyne.f";"歐弗洛緒涅";""
"cn_Eusebius.m";"歐瑟比";""
"cn_Eustace.m";"尤斯塔斯";""
"cn_Eustacius.m";"尤斯塔修斯";""
"cn_Eustathios.m";"尤斯塔提奧斯";""
"cn_Eustathius.m";"尤斯塔提烏斯";""
"cn_Eustrathios.m";"尤斯塔西奧斯";""
"cn_Euthymios.m";"尤瑟米奧斯";""
"cn_Euthymius.m";"尤瑟米烏斯";""
"cn_Euzebius.m";"尤西比厄斯";""
"cn_Eva.f";"愛娃";""
"cn_Evdokia.f";"愛娃多奇婭";""
"cn_Evdokija.f";"愛娃多奇加";""
"cn_Evdokiya.f";"埃夫多基婭";""
"cn_Eve.f";"伊芙";""
"cn_Everard.m";"伊芙爾德";""
"cn_Evereraert.m";"伊芙拉萊特";""
"cn_Evgenia.f";"葉夫根尼婭";""
"cn_Evradas.m";"葉夫達拉斯";""
"cn_Evrouin.m";"艾弗林";""
"cn_Evtimiy.m";"艾威梯米里";""
"cn_Ewmond.m";"艾維蒙";""
"cn_Ewuare.m";"艾維阿爾";""
"cn_Exuperi.m";"佐柏里";""
"cn_Eylo.f";"佐伊洛";""
"cn_Eymery.m";"佐伊梅爾";""
"cn_Eynard.m";"伊納德";""
"cn_Eysteinn.m";"埃斯泰因";""
"cn_Ezra.m";"埃茲拉";""
"cn_Ezzio.m";"埃茲奧";""
"cn_Fabian.m";"費比安";""
"cn_Fadhma.f";"法德瑪";""
"cn_Fadlallah.m";"法德拉赫";""
"cn_Fadrique.m";"法德里克";""
"cn_Faga.m";"法加";""
"cn_Fagildo.m";"法基羅";""
"cn_Fahr.f";"法哈爾";""
"cn_Fahreddin.m";"法雷丁";""
"cn_Fahruddin.m";"法魯丁";""
"cn_Fakhr.m";"法赫爾";""
"cn_Fakoli.m";"法科里";""
"cn_Falcone.m";"法爾科";""
"cn_Faledro.m";"法爾德羅";""
"cn_Falkes.m";"法爾克斯";""
"cn_Fancsal.m";"凡卡薩爾";""
"cn_Fancsika.m";"凡科西卡";""
"cn_Fannu.f";"法努";""
"cn_Faoni.m";"法洛尼";""
"cn_Faraj.m";"法拉加";""
"cn_Faramond.m";"法拉蒙";""
"cn_Faravid.m";"法拉維德";""
"cn_Fariburz.m";"法爾布魯茲";""
"cn_Faris.m";"法爾斯";""
"cn_Farkas.m";"法爾卡斯";""
"cn_Farquhar.m";"法夸爾";""
"cn_Farras.m";"法爾拉斯";""
"cn_Farrukhzad.m";"法魯赫扎德";""
"cn_Faska.m";"福什卡";""
"cn_Fath.m";"法斯";""
"cn_Fatima.f";"法緹瑪";""
"cn_Fatimah.f";"法緹瑪禾";""
"cn_Fatna.f";"法特娜";""
"cn_Fawkes.m";"福克斯";""
"cn_Fearchar.m";"費爾查爾";""
"cn_Federico.m";"費德里科";""
"cn_Fedor.m";"費多爾";""
"cn_Feidhlimidh.m";"費德利米德";""
"cn_Felicia.f";"費莉西婭";""
"cn_Felician.m";"費利奇安";""
"cn_Felipe.m";"費利佩";""
"cn_Felix.m";"費力克斯";""
"cn_Feodula.f";"費奧杜拉";""
"cn_Feognost.m";"費奧格諾斯特";""
"cn_Feradac.m";"菲拉達克";""
"cn_Feradach.m";"菲拉達奇";""
"cn_Ferand.m";"費蘭德";""
"cn_Ferchar.m";"費赫爾";""
"cn_Ferdinand.m";"費迪南";""
"cn_Ferdinando.m";"費迪南多";""
"cn_Ferdomnach.m";"費迪南赫";""
"cn_Ferdomnaig.m";"費迪南奈格";""
"cn_Fergal.m";"費加爾";""
"cn_Fergus.m";"菲格斯";""
"cn_Feris.m";"菲利斯";""
"cn_Fernan.m";"弗倫南";""
"cn_Fernando.m";"弗爾南多";""
"cn_Ferran.m";"弗蘭";""
"cn_Ferrand.m";"弗蘭德";""
"cn_Ferrandos.m";"弗蘭德羅斯";""
"cn_Ferranto.m";"弗蘭托";""
"cn_Ferry.m";"弗瑞";""
"cn_Ffilip.m";"弗利普";""
"cn_Fiedora.f";"菲朵菈";""
"cn_Filagato.m";"菲爾加托";""
"cn_Filbert.m";"菲爾貝特";""
"cn_Filip.m";"菲利普";""
"cn_Filipe.m";"菲力坡";""
"cn_Filipot.m";"費力珀特";""
"cn_Filippo.m";"菲力泊";""
"cn_Filothea.f";"菲洛西婭";""
"cn_Fimi.f";"費米";""
"cn_Fina.f";"菲娜";""
"cn_Findlaech.m";"菲德艾奇";""
"cn_Fingen.m";"費根";""
"cn_Finghin.m";"費欣";""
"cn_Finguine.m";"費格尼";""
"cn_Finla.m";"菲拉";""
"cn_Finta.m";"菲達";""
"cn_Fiodor.m";"菲奧多";""
"cn_Fionnbharra.m";"菲奧巴哈拉";""
"cn_Fionnula.f";"菲奧納菈";""
"cn_Fiorenza.f";"菲奧倫扎";""
"cn_Firnas.m";"菲爾納斯";""
"cn_Firuz.m";"菲魯茲";""
"cn_Flaherty.m";"弗萊厄蒂";""
"cn_Flaithbertaich.m";"菲艾斯貝爾塔奇";""
"cn_Flann.m";"費蘭";""
"cn_Flore.f";"弗洛爾";""
"cn_Flore.m";"佛洛爾";""
"cn_Florie.f";"弗洛伊";""
"cn_Floris.m";"弗洛斯";""
"cn_Folcaut.m";"弗爾考特";""
"cn_Folco.m";"佛爾科";""
"cn_Folke.m";"佛爾克";""
"cn_Folkvid.m";"弗克維德";""
"cn_Folquets.m";"弗爾奎斯特";""
"cn_Forbhlaith.f";"弗爾巴哈萊斯";""
"cn_Fortaner.m";"弗爾塔尼爾";""
"cn_Fortun.m";"富爾頓";""
"cn_Forveleth.f";"富爾維勒斯";""
"cn_Fotoh.m";"弗托赫";""
"cn_Foulques.m";"福爾奎斯";""
"cn_Frakkok.f";"夫拉克柯";""
"cn_Frances.f";"法蘭西斯";""
"cn_Francesco.m";"弗朗西斯科";""
"cn_Francika.m";"弗朗西斯卡";""
"cn_Franciscus.m";"弗朗西斯庫斯";""
"cn_Franco.m";"弗朗科";""
"cn_Francois.m";"弗朗索瓦";""
"cn_Francz.m";"弗蘭茨";""
"cn_Frang.m";"弗朗";""
"cn_Frank.m";"弗蘭克";""
"cn_Frans.m";"弗蘭斯";""
"cn_Frederick.m";"弗雷德裡克";""
"cn_Freky.m";"弗雷斯基";""
"cn_Freskin.m";"弗雷斯辛";""
"cn_Fresne.f";"弗亨內";""
"cn_Frezols.m";"弗茨洛斯";""
"cn_Friedrich.m";"弗雷德里希";""
"cn_Froila.m";"弗洛拉";""
"cn_Frotars_Peire.m";"弗蘭塔爾斯-皮埃爾";""
"cn_Frujin.m";"弗里欣";""
"cn_Frumgar.m";"弗魯姆加";""
"cn_Fulana.f";"弗拉娜";""
"cn_Fulane.f";"弗蘭妮";""
"cn_Fulaytah.m";"弗蘭耶赫";""
"cn_Fulk.m";"弗爾克";""
"cn_Fulko.m";"弗爾科";""
"cn_Fyodor.m";"費奧多";""
"cn_Gabbriello.m";"加比里洛";""
"cn_Gabor.m";"加博爾";""
"cn_Gabriel.m";"加比埃爾";""
"cn_Gadhra.m";"加德拉";""
"cn_Gaetana.f";"加埃塔納";""
"cn_Gagik.m";"佳吉克";""
"cn_Gagik_Abas.m";"佳吉克-阿巴斯";""
"cn_Gaikhalt.m";"蓋科霍特";""
"cn_Gaillard.m";"蓋拉德";""
"cn_Gaitelgrima.f";"蓋特格瑪";""
"cn_Gajik.m";"蓋吉克";""
"cn_Galas.m";"蓋拉斯";""
"cn_Galberge.f";"蓋博格";""
"cn_Galeazzo.m";"蓋勒茲科";""
"cn_Galeotto.m";"蓋勒奧托";""
"cn_Galfric.m";"蓋勒斐爾科";""
"cn_Galileo.m";"伽利略";""
"cn_Galindo.m";"加林多";""
"cn_Gallien.m";"加里恩";""
"cn_Galters.m";"加特爾斯";""
"cn_Gamel.m";"蓋密爾";""
"cn_Gamelini.m";"蓋米林";""
"cn_Gamrekeli.m";"蓋梅爾克";""
"cn_Gana.m";"加納";""
"cn_Ganelon.m";"加內隆";""
"cn_Gange_Rolv.m";"甘奇-洛夫";""
"cn_Gantula.m";"甘圖拉";""
"cn_Gao.m";"加奧";""
"cn_Garcia.m";"加西亞";""
"cn_Garcias.m";"加西亞斯";""
"cn_Garib.m";"加里布";""
"cn_Garnait.m";"加爾奈特";""
"cn_Garnier.m";"加爾奈爾";""
"cn_Garseddin.m";"加爾塞丁";""
"cn_Garsenda.f";"加爾塞妲";""
"cn_Garshasp.m";"格爾沙普";""
"cn_Gartnait.m";"格爾奈特";""
"cn_Gastos.m";"格斯托斯";""
"cn_Gaucelis.m";"格烏策里斯";""
"cn_Gaucher.m";"格奧徹";""
"cn_Gaudemunda.f";"高蒂穆妲";""
"cn_Gaudimante.f";"高蒂曼特";""
"cn_Gaudis.m";"高迪斯";""
"cn_Gaufrido.m";"高夫里多";""
"cn_Gaunilo.m";"高尼羅";""
"cn_Gautier.m";"高鐵爾";""
"cn_Gautiers.m";"戈蒂埃";""
"cn_Gavril.m";"加夫里爾";""
"cn_Gawin.m";"高文";""
"cn_Gaya.f";"格雅";""
"cn_Gayane.f";"加雅涅";""
"cn_Gaykhatu.m";"海合都";""
"cn_Gazi.m";"加齊";""
"cn_Gbere.m";"賈比爾";""
"cn_Gebhard.m";"賈哈德";""
"cn_Gediminas.m";"格季米納斯";""
"cn_Gedvydas.m";"格德維達斯";""
"cn_Gedvylas.m";"格德維拉斯";""
"cn_Gegegen.m";"葛格根";""
"cn_Geiles.f";"蓋勒斯";""
"cn_Geirnaert.m";"格納特";""
"cn_Gelasius.m";"格拉西斯";""
"cn_Gelejian.m";"格拉基恩";""
"cn_Gelfrat.m";"格拉法特";""
"cn_Gelis.f";"格麗斯";""
"cn_Gelis.m";"格力斯";""
"cn_Gellert.m";"格勒爾特";""
"cn_Gelmiro.m";"格爾米羅";""
"cn_Gelou.m";"格爾羅";""
"cn_Gemma.f";"格瑪";""
"cn_Generys.f";"格勒耶斯";""
"cn_Geneth.f";"格尼斯";""
"cn_Genghis.m";"鐵木真";""
"cn_Geniles.f";"格尼勒斯";""
"cn_Gennadios.m";"金納迪奧斯";""
"cn_Gennadius.m";"金納迪烏斯";""
"cn_Genoveva.f";"杰諾韋瓦";""
"cn_Geodula.f";"格奧都拉";""
"cn_Geoffrey.m";"傑夫里";""
"cn_Geoffroi.m";"傑夫羅";""
"cn_Georg.m";"格爾治";""
"cn_George.m";"喬治";""
"cn_Georgi.m";"喬治里";""
"cn_Georgios.m";"喬治格奧斯";""
"cn_Georgiy.m";"喬治伊";""
"cn_Gerald.m";"格爾奧德";""
"cn_Gerallt.m";"格爾奧特";""
"cn_Gerard.m";"格爾阿德";""
"cn_Gerarda.f";"格拉妲";""
"cn_Gerardo.m";"格拉多";""
"cn_Gerasimos.m";"戈拉斯莫斯";""
"cn_Gerberga.f";"格拉巴爾加";""
"cn_Gerbert.m";"加爾貝特";""
"cn_Gerda.f";"加爾達";""
"cn_Gerdeka.f";"加爾德卡";""
"cn_Gerdrut.f";"格杜特";""
"cn_Geregye.m";"格勒蓋耶";""
"cn_Gergely.m";"格爾蓋勒";""
"cn_Gerhard.m";"格爾哈德";""
"cn_Gerlach.m";"格爾拉齊";""
"cn_Germanos.m";"格爾曼諾斯";""
"cn_Germanus.m";"格爾曼努斯";""
"cn_Gernot.m";"戈爾諾特";""
"cn_Gerold.m";"格爾德";""
"cn_Gerolf.m";"哥爾夫";""
"cn_Gersent.f";"格爾森特";""
"cn_Gerstukas.m";"格爾斯圖恰斯";""
"cn_Gert.m";"格爾特";""
"cn_Gertruda.f";"格爾圖妲";""
"cn_Gertrude.f";"格爾圖德";""
"cn_Gertrude_Petronilla.f";"格爾圖德-彼得羅尼拉";""
"cn_Gerung.m";"格朗";""
"cn_Gervais.m";"格拉瓦斯";""
"cn_Gervase.m";"格拉維斯";""
"cn_Gervasio.m";"格爾瓦索";""
"cn_Geva.f";"蓋瓦";""
"cn_Ghabdula.m";"蓋布杜拉";""
"cn_Ghalib.m";"迦利布";""
"cn_Ghaniyah.f";"蓋安婭赫";""
"cn_Ghassan.m";"加桑";""
"cn_Ghaythah.f";"蓋斯阿";""
"cn_Ghazan.m";"蓋哈贊";""
"cn_Ghazar.m";"蓋扎爾";""
"cn_Ghaziya.f";"蓋安茲婭";""
"cn_Gheorghe.m";"格奧爾基";""
"cn_Gherardo.m";"格爾拉多";""
"cn_Gherarducio.m";"格拉杜齊奧";""
"cn_Ghevond.m";"格威歐德";""
"cn_Ghias.m";"格依哈斯";""
"cn_Ghiyas.m";"格依亞斯";""
"cn_Ghiyath.m";"格依亞瑟";""
"cn_Ghougas.m";"格庫古斯";""
"cn_Ghufayl.m";"格法耶爾";""
"cn_Ghurbatai.m";"古爾巴臺";""
"cn_Ghysebrecht.m";"格耶斯布徹特";""
"cn_Gi.m";"紀伊";""
"cn_Giacomo.m";"賈科莫";""
"cn_Gian.m";"吉安";""
"cn_Gianbattista.m";"吉恩巴蒂斯塔";""
"cn_Gianfrancesco.m";"吉恩法蘭西斯科";""
"cn_Giannantonio.m";"吉恩南托尼奧";""
"cn_Gib.m";"基布";""
"cn_Giffard.m";"吉費爾德";""
"cn_Gijs.m";"吉格斯";""
"cn_Gilabertz.m";"吉拉貝爾";""
"cn_Gilbert.m";"吉爾伯特";""
"cn_Gilberte.f";"吉爾貝特";""
"cn_Gilchrist.m";"吉爾克里斯特";""
"cn_Gilebert.m";"吉勒貝特";""
"cn_Giles.m";"吉爾斯";""
"cn_Gileta.f";"吉爾妲";""
"cn_Gilia.f";"吉拉";""
"cn_Gill.m";"吉爾";""
"cn_Gilla.m";"吉爾拉";""
"cn_Gillafin.m";"吉爾拉芬";""
"cn_Gillamaire.m";"吉爾拉米爾";""
"cn_Gille.m";"吉爾勒";""
"cn_Gillebrighde.m";"吉爾布里哈德";""
"cn_Gilleoin.m";"吉勒約恩";""
"cn_Gilleskel.m";"吉勒斯科爾";""
"cn_Gillespie.m";"吉勒斯派爾";""
"cn_Gillian.f";"季連恩";""
"cn_Gine.f";"基尼";""
"cn_Ginozzo.m";"吉諾茨";""
"cn_Giorgi.m";"喬爾吉";""
"cn_Giorgio.m";"格奧爾高";""
"cn_Giotto.m";"格奧托";""
"cn_Giovanna.f";"喬凡娜";""
"cn_Giovanni.m";"喬凡尼";""
"cn_Giragas.m";"格拉斯哥";""
"cn_Giraldo.m";"吉拉爾多";""
"cn_Girard.m";"吉拉爾德";""
"cn_Giraud.m";"吉拉伍德";""
"cn_Giric.m";"吉瑞克";""
"cn_Girolamo.m";"吉爾羅拉莫";""
"cn_Girvaits.m";"吉爾維提斯";""
"cn_Gisela.f";"吉瑟拉";""
"cn_Giselbrecht.m";"吉瑟布徹特";""
"cn_Giselle.f";"吉塞爾";""
"cn_Gisle.m";"吉塞勒";""
"cn_Giso.m";"吉索";""
"cn_Gissur.m";"吉素爾";""
"cn_Gita.f";"吉妲";""
"cn_Giuliano.m";"吉里安諾";""
"cn_Giunta.m";"金納塔";""
"cn_Gizlan.f";"金茲蘭";""
"cn_Gjergji.m";"戈哲爾基";""
"cn_Gjin.m";"格金";""
"cn_Gjon.m";"哥約恩";""
"cn_Glad.m";"格萊德";""
"cn_Gleb.m";"葛萊卜";""
"cn_Glockrian.m";"格洛克瑞安";""
"cn_Godafres.m";"格羅達弗雷斯";""
"cn_Godbert.m";"高德貝特";""
"cn_Godehilde.f";"高德赫立德";""
"cn_Godelieve.f";"高德德里芙";""
"cn_Godfrey.m";"戈弗雷";""
"cn_Godila.f";"歌德迪亞";""
"cn_Godith.f";"格德茲";""
"cn_Godred.m";"格德瑞德";""
"cn_Godwin.m";"葛德文";""
"cn_Gofraid.m";"戈德弗里德";""
"cn_Gojko.m";"戈伊科";""
"cn_Golem.m";"戈勒姆";""
"cn_Goll.m";"高爾";""
"cn_Gomez.m";"哥莫茲";""
"cn_Gonsalvo.m";"岡薩爾沃";""
"cn_Gonzalo.m";"貢薩洛";""
"cn_Gordana.f";"戈爾達娜";""
"cn_Gorige.m";"格爾利哥";""
"cn_Gormflaith.f";"格爾姆弗拉茨";""
"cn_Goronwy.m";"戈倫韋";""
"cn_Gosdantin.m";"戈爾德斯坦";""
"cn_Goshadze.m";"格爾沙德茲";""
"cn_Goswin.m";"高斯文";""
"cn_Gotfrid.m";"高特弗里德";""
"cn_Gothardus.m";"戈瑟爾杜斯";""
"cn_Gottshalk.m";"戈茨沙爾克";""
"cn_Grace.f";"格瑞斯";""
"cn_Gradinja.m";"格拉丁賈";""
"cn_Graecia.f";"戈拉西亞";""
"cn_Greet.f";"格利特";""
"cn_Greger.m";"格力格爾";""
"cn_Gregoir.m";"格力貢爾";""
"cn_Gregor.m";"格力高";""
"cn_Gregorio.m";"格雷戈里奧";""
"cn_Gregorios.m";"格雷戈里奧斯";""
"cn_Gregory.m";"格雷戈瑞";""
"cn_Greimolt.m";"格雷莫特";""
"cn_Grete.f";"格力特";""
"cn_Griffit.m";"格里夫特";""
"cn_Griffri.m";"格里夫里";""
"cn_Grigol.m";"格里格爾";""
"cn_Grigor.m";"格里高";""
"cn_Grigor_Derenik.m";"格里高-德瑞尼柯";""
"cn_Grigore.m";"格里高爾";""
"cn_Grigorije.m";"格里戈里耶";""
"cn_Grigoriy.m";"格里高力";""
"cn_Grimoald.m";"格力莫爾德";""
"cn_Griselda.f";"格瑞賽妲";""
"cn_Gro.f";"格瑞歐";""
"cn_Gronw.m";"格瑞恩";""
"cn_Grouch.f";"格洛琪";""
"cn_Gruffudd.m";"格瑞弗德";""
"cn_Gruffydd.m";"格瑞弗迪";""
"cn_Gruoch.f";"格洛奇";""
"cn_Grzymislawa.f";"戈耶米斯拉娃";""
"cn_Gualhartz.m";"格爾霍爾茨";""
"cn_Guarona.f";"格拉榮阿";""
"cn_Guccio.m";"古馳";""
"cn_Gudbrand.m";"古德布蘭";""
"cn_Gudesteo.m";"古德斯泰德";""
"cn_Gudmundur.m";"古德穆杜爾";""
"cn_Gudny.f";"古德妮";""
"cn_Gudradis.f";"古德拉蒂斯";""
"cn_Gudrodr.m";"古德羅多爾";""
"cn_Gudrun.f";"古德頓";""
"cn_Guenael.f";"葛納爾";""
"cn_Guerau.m";"古爾蘇";""
"cn_Guerech.m";"古爾奇";""
"cn_Guglielmo.m";"古列爾莫";""
"cn_Gugliemo.m";"古列莫";""
"cn_Guhtasb.m";"古哈斯塔巴";""
"cn_Gui.m";"古依";""
"cn_Guia.f";"古依阿";""
"cn_Guido.m";"古依多";""
"cn_Guifre.m";"古依弗";""
"cn_Guigemar.m";"古依賈馬爾";""
"cn_Guigo.m";"古依羅";""
"cn_Guigues.m";"季格";""
"cn_Guihomar.m";"吉奧馬爾";""
"cn_Guilhamos.m";"吉奧馬莫斯";""
"cn_Guilhelms.m";"吉奧赫慕斯";""
"cn_Guilhem.m";"吉奧赫姆";""
"cn_Guillaume.m";"紀堯姆";""
"cn_Guillelmus.m";"紀堯姆斯";""
"cn_Guillem.m";"吉爾姆";""
"cn_Guillemette.f";"吉爾姆梅特";""
"cn_Guillemona.f";"吉爾莫菈";""
"cn_Guillerma.f";"吉爾姆瑪";""
"cn_Guinevere.f";"桂妮維亞";""
"cn_Guiomar.f";"吉奧瑪爾";""
"cn_Guios.m";"吉爾奧斯";""
"cn_Guiotz.m";"吉爾奧茲";""
"cn_Guirautz.m";"格拉茲";""
"cn_Guis.m";"格拉斯";""
"cn_Gulhemet.m";"吉爾赫默特";""
"cn_Gulielm.m";"吉爾列姆";""
"cn_Gulkhan.f";"吉爾可罕";""
"cn_Gumprecht.m";"貢普雷希特";""
"cn_Gundrada.f";"貢德拉妲";""
"cn_Gundram.m";"貢德拉姆";""
"cn_Gundred.f";"貢德拉德";""
"cn_Guneri.m";"貢尼里";""
"cn_Gunnar.m";"貢納爾";""
"cn_Gunnhildr.f";"貢希迪爾";""
"cn_Gunnor.f";"貢諾爾";""
"cn_Gunselin.m";"貢瑟林";""
"cn_Gunter.m";"貢特爾";""
"cn_Gunther.m";"貢希爾";""
"cn_Guntroda.f";"貢特蘿妲";""
"cn_Gunzelin.m";"貢澤林";""
"cn_Gurandukht.f";"貢蘭德科特";""
"cn_Gurcu.f";"貢露珂";""
"cn_Gurgen.m";"古爾根";""
"cn_Gushtasb.m";"古什塔斯巴";""
"cn_Gutel.f";"古特爾";""
"cn_Guthorm.m";"古特姆";""
"cn_Guttiere.m";"古提若";""
"cn_Guttorm.m";"古托姆";""
"cn_Gutun.m";"古特溫";""
"cn_Gutwin.m";"古特文";""
"cn_Guust.m";"古斯特";""
"cn_Guy.m";"古拉";""
"cn_Guyuk.m";"古耶克";""
"cn_Guzan.m";"古贊";""
"cn_Gvantsa.f";"古范特薩";""
"cn_Gwalchmai.m";"格沃奇梅";""
"cn_Gwallter.m";"格瓦爾特";""
"cn_Gwasdewi.m";"格瓦斯德威";""
"cn_Gweirica.f";"戈薇西卡";""
"cn_Gwen.f";"格雯";""
"cn_Gwenhwyfar.f";"格溫懷法";""
"cn_Gwenllian.f";"葛文蓮";""
"cn_Gwenllwyfo.f";"葛文利維弗";""
"cn_Gwensi.f";"葛文尼斯";""
"cn_Gwenwynwyn.m";"格溫溫溫";""
"cn_Gwerfel.f";"葛文菲爾";""
"cn_Gwerful.f";"格雯菲爾";""
"cn_Gwerfyl.f";"葛薇爾菲";""
"cn_Gwerica.f";"葛文萊卡";""
"cn_Gwerydd.f";"葛文萊迪";""
"cn_Gwilym.m";"葛文姆";""
"cn_Gwion.m";"葛文恩";""
"cn_Gwir.f";"葛文爾";""
"cn_Gwladus.f";"葛文拉杜斯";""
"cn_Gwladys.f";"格拉蒂斯";""
"cn_Gwledyr.f";"格溫萊德";""
"cn_Gwogan.m";"葛文甘";""
"cn_Gwrgant.m";"葛文甘特";""
"cn_Gwrgenau.m";"葛文甘諾";""
"cn_Gwrwared.m";"格紋瓦爾德";""
"cn_Gwydion.m";"格紋迪恩";""
"cn_Gwyn.m";"葛文";""
"cn_Gwynfardd.m";"葛文法爾德";""
"cn_Gyla.f";"歌婭";""
"cn_Gylmine.m";"葛文米尼";""
"cn_Gyorgy.m";"葛文格力";""
"cn_Gyselher.m";"戈瑟赫爾";""
"cn_Gytha.f";"戈瑟妲";""
"cn_Gyula.m";"戈瑟拉";""
"cn_Gyumushtekin.m";"戈瑟穆施特辛";""
"cn_Haakon.m";"哈康";""
"cn_Haas.m";"哈斯";""
"cn_Habbus.m";"哈布斯";""
"cn_Habibah.f";"哈比妲赫";""
"cn_Hachiun.m";"哈馳恩";""
"cn_Hadija.f";"哈迪嘉";""
"cn_Hadubrand.m";"哈度巴蘭";""
"cn_Hadwisa.f";"哈德維薩";""
"cn_Hafez.m";"哈德菲斯";""
"cn_Hafs.m";"哈菲斯";""
"cn_Hafsah.f";"哈弗莎";""
"cn_Hahold.m";"哈霍德";""
"cn_Hahot.m";"哈霍特";""
"cn_Haile.m";"哈勒";""
"cn_Hajdjadj.m";"哈吉加德";""
"cn_Hajib.m";"哈吉布";""
"cn_Hajjaj.m";"哈吉賈";""
"cn_Hakan.m";"哈坎";""
"cn_Hakim.m";"哈基姆";""
"cn_Hakima.f";"哈吉瑪";""
"cn_Halawa.f";"哈拉娃";""
"cn_Halima.f";"哈莉瑪";""
"cn_Hallsten.m";"哈爾斯坦";""
"cn_Halvdan.m";"哈爾維丹";""
"cn_Hamada.m";"哈馬達";""
"cn_Hamazasp.m";"哈馬紮斯普";""
"cn_Hamdallah.m";"哈馬達拉赫";""
"cn_Hamdan.m";"哈馬丹";""
"cn_Hamelin.m";"哈梅林";""
"cn_Hamid.m";"哈米德";""
"cn_Hamida.f";"哈米妲";""
"cn_Hammad.m";"哈馬德";""
"cn_Hammama.m";"哈瑪瑪";""
"cn_Hammou.m";"哈馬莫";""
